time    Sun_pos_x  Sun_pos_y  Sun_pos_z    Mercury_pos_x  Mercury_pos_y  Mercury_pos_z    Venus_pos_x  Venus_pos_y  Venus_pos_z    Earth_pos_x  Earth_pos_y  Earth_pos_z    Mars_pos_x  Mars_pos_y  Mars_pos_z    
0.000000e+00    0.000000e+00  0.000000e+00  0.000000e+00    0.000000e+00  5.700000e+10  0.000000e+00    0.000000e+00  1.100000e+11  0.000000e+00    0.000000e+00  1.500000e+11  0.000000e+00    0.000000e+00  2.200000e+11  0.000000e+00    
0.000000e+00    0.000000e+00  2.027884e+02  0.000000e+00    4.060800e+09  5.684666e+10  0.000000e+00    3.024000e+09  1.099588e+11  0.000000e+00    2.592000e+09  1.499779e+11  0.000000e+00    2.073600e+09  2.199897e+11  0.000000e+00    
8.640000e+04    1.153426e+01  8.107143e+02  0.000000e+00    8.099829e+09  5.638813e+10  0.000000e+00    6.045737e+09  1.098354e+11  0.000000e+00    5.183235e+09  1.499114e+11  0.000000e+00    4.147006e+09  2.199588e+11  0.000000e+00    
1.728000e+05    4.612792e+01  1.823146e+03  0.000000e+00    1.209535e+10  5.562648e+10  0.000000e+00    9.062951e+09  1.096297e+11  0.000000e+00    7.772940e+09  1.498008e+11  0.000000e+00    6.220024e+09  2.199074e+11  0.000000e+00    
2.592000e+05    1.152755e+02  3.239030e+03  0.000000e+00    1.602573e+10  5.456517e+10  0.000000e+00    1.207338e+10  1.093420e+11  0.000000e+00    1.036035e+10  1.496459e+11  0.000000e+00    8.292460e+09  2.198353e+11  0.000000e+00    
3.456000e+05    2.304252e+02  5.056890e+03  0.000000e+00    1.986956e+10  5.320904e+10  0.000000e+00    1.507478e+10  1.089725e+11  0.000000e+00    1.294470e+10  1.494468e+11  0.000000e+00    1.036412e+10  2.197427e+11  0.000000e+00    
4.320000e+05    4.029630e+02  7.274828e+03  0.000000e+00    2.360566e+10  5.156432e+10  0.000000e+00    1.806490e+10  1.085215e+11  0.000000e+00    1.552524e+10  1.492036e+11  0.000000e+00    1.243481e+10  2.196295e+11  0.000000e+00    
5.184000e+05    6.441958e+02  9.890523e+03  0.000000e+00    2.721316e+10  4.963864e+10  0.000000e+00    2.104151e+10  1.079893e+11  0.000000e+00    1.810119e+10  1.489164e+11  0.000000e+00    1.450434e+10  2.194958e+11  0.000000e+00    
6.048000e+05    9.653344e+02  1.290123e+04  0.000000e+00    3.067163e+10  4.744103e+10  0.000000e+00    2.400238e+10  1.073764e+11  0.000000e+00    2.067179e+10  1.485853e+11  0.000000e+00    1.657250e+10  2.193415e+11  0.000000e+00    
6.912000e+05    1.377476e+03  1.630379e+04  0.000000e+00    3.396106e+10  4.498193e+10  0.000000e+00    2.694530e+10  1.066831e+11  0.000000e+00    2.323630e+10  1.482102e+11  0.000000e+00    1.863912e+10  2.191666e+11  0.000000e+00    
